年月,地區,產業別,性別,年齡層,信用卡交易筆數,信用卡交易金額[新台幣]
201401,66000000,百貨,1,35(含)-40歲,27083,109783694
201401,66000000,百貨,1,40(含)-45歲,22561,93905412
201401,66000000,百貨,1,45(含)-50歲,19870,89933755
201401,66000000,百貨,1,50(含)-55歲,13818,66607642
201401,66000000,百貨,1,55(含)-60歲,8520,44664796
201401,66000000,百貨,1,60(含)-65歲,5091,25564938
201401,66000000,百貨,1,65(含)-70歲,1938,10084490
201401,66000000,百貨,1,70(含)-75歲,886,4087709
201401,66000000,百貨,1,75(含)-80歲,417,1745483
201401,66000000,百貨,1,80(含)歲以上,298,1051929
201401,66000000,其他,1,未滿20歲,71,367146
201401,66000000,其他,1,20(含)-25歲,2429,15059681
201401,66000000,其他,1,25(含)-30歲,10939,60900081
201401,66000000,其他,1,30(含)-35歲,23848,119136512
201401,66000000,其他,1,35(含)-40歲,31594,129314671
201401,66000000,其他,1,40(含)-45歲,30788,129336406
201401,66000000,其他,1,45(含)-50歲,26010,125933447
201401,66000000,其他,1,50(含)-55歲,19138,101401622
201401,66000000,其他,1,55(含)-60歲,12682,69338714
201401,66000000,其他,1,60(含)-65歲,8092,47476529
201401,66000000,其他,1,65(含)-70歲,3246,17272359
201401,66000000,其他,1,70(含)-75歲,1487,7256573
201401,66000000,其他,1,75(含)-80歲,697,3846882
201401,66000000,其他,1,80(含)歲以上,467,4311325
201401,67000000,食,1,未滿20歲,208,857708
201401,67000000,食,1,20(含)-25歲,3852,5579926
201401,67000000,食,1,25(含)-30歲,18044,30034764
201401,67000000,食,1,30(含)-35歲,36496,65076591
201401,67000000,食,1,35(含)-40歲,44671,84343178
201401,67000000,食,1,40(含)-45歲,44876,84285192
201401,67000000,食,1,45(含)-50歲,43091,84777481
201401,67000000,食,1,50(含)-55歲,34965,70574569
201401,67000000,食,1,55(含)-60歲,24374,49443768
201401,67000000,食,1,60(含)-65歲,17709,34314729
201401,67000000,食,1,65(含)-70歲,7186,11941803
201401,67000000,食,1,70(含)-75歲,3679,5331191
201401,67000000,食,1,75(含)-80歲,1868,2745379
201401,67000000,食,1,80(含)歲以上,1055,1760328
201401,67000000,衣,1,未滿20歲,22,45823
201401,67000000,衣,1,20(含)-25歲,684,1722884
201401,67000000,衣,1,25(含)-30歲,2475,6616279
201401,67000000,衣,1,30(含)-35歲,5046,13083241
201401,67000000,衣,1,35(含)-40歲,6189,14964863
201401,67000000,衣,1,40(含)-45歲,5548,14330381
201401,67000000,衣,1,45(含)-50歲,4785,12826678
201401,67000000,衣,1,50(含)-55歲,2960,9512802
201401,67000000,衣,1,55(含)-60歲,1623,5294336
201401,67000000,衣,1,60(含)-65歲,914,2767274
201401,67000000,衣,1,65(含)-70歲,323,910452
201401,67000000,衣,1,70(含)-75歲,106,380109
201401,67000000,衣,1,75(含)-80歲,28,109225
201401,67000000,衣,1,80(含)歲以上,49,156777
201401,67000000,住,1,未滿20歲,99,503671
201401,67000000,住,1,20(含)-25歲,1056,4012140
201401,67000000,住,1,25(含)-30歲,5550,24064591
201401,67000000,住,1,30(含)-35歲,11376,48251942
201401,67000000,住,1,35(含)-40歲,13261,57454739
201401,67000000,住,1,40(含)-45歲,13187,59076649
201401,67000000,住,1,45(含)-50歲,12058,57809755
